__run_id,__done,algorithm,library,dataset,process,accuracy,f1_score,r2,runtime_s,cpu_user_s,cpu_system_s,memory_delta_mb,energy_j,estimated_CO2_kg,
linear_statsmodels_medium_training_rep7,DONE,linear,statsmodels,medium,training,,,,0.839,0.003366083,0.004110666000000001,18.96875,2.2162125624815623,,2.6414929231007895
linear_statsmodels_medium_inference_rep7,DONE,linear,statsmodels,medium,inference,nan,nan,0.5554700019907838,0.834,0.0040094169999999995,0.004915000000000001,18.5,2.8095852351188655,,3.3688072363535557
linear_statsmodels_large_training_rep7,DONE,linear,statsmodels,large,training,,,,1.261,0.0022133329999999996,0.0026675840000000006,19.25,4.325483904421329,,3.4302013516426086
linear_statsmodels_large_inference_rep7,DONE,linear,statsmodels,large,inference,nan,nan,0.6725440184152305,1.052,0.005202041,0.006659957999999999,18.78125,2.7813113381522037,,2.6438320704868854
linear_statsmodels_small_training_rep7,DONE,linear,statsmodels,small,training,,,,0.63,0.002661875,0.003101374999999999,19.03125,1.4725692443847656,,2.3374114990234376
linear_statsmodels_small_inference_rep7,DONE,linear,statsmodels,small,inference,nan,nan,0.0096459506580489,0.634,0.003171,0.0036387500000000014,18.796875,1.520621467590332,,2.398456573486328
logistic_statsmodels_large_training_rep7,DONE,logistic,statsmodels,large,training,,,,6.696,0.003792417,0.004537458000000001,19.703125,91.61560540008544,,13.68213939666748
logistic_statsmodels_large_inference_rep7,DONE,logistic,statsmodels,large,inference,1.0,1.0,nan,1.051,0.003916790999999999,0.0046277079999999995,19.171875,3.5908615156582417,,3.4166141918727324
linear_sklearn_large_training_rep7,DONE,linear,sklearn,large,training,,,,1.051,0.0026110410000000006,0.003062167000000001,19.078125,4.012351128714426,,3.817650931222099
linear_sklearn_large_inference_rep7,DONE,linear,sklearn,large,inference,nan,nan,0.6725440184152253,0.842,0.002665667,0.002894125000000001,18.046875,2.8376141136487325,,3.37008802096049
logistic_statsmodels_medium_training_rep7,DONE,logistic,statsmodels,medium,training,,,,1.047,0.003112875,0.003647665999999999,19.0625,2.7830065136637003,,2.658076899392264
